publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2023p792852,earthquake,2023-10-21T08:31:52.868Z,2023-10-21T08:45:19.317Z,169.4894867,-43.91506958,2.523912368,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,11,10,5,0.5321374536,154.7039185,0.8704010879,0.1218224213
2023p792819,earthquake,2023-10-21T08:14:09.117Z,2023-10-21T08:25:06.428Z,167.1064148,-45.68053818,2.413882048,73.40921021,MLv,,LOCSAT,confirmed,manual,iasp91,20,14,1,0.2183708549,216.4158239,0.5967077771,0
2023p792507,earthquake,2023-10-21T05:28:54.882Z,2023-10-21T07:47:34.984Z,172.7744598,-42.07621002,2.402753755,46.8049469,MLv,,LOCSAT,confirmed,manual,iasp91,36,23,7,0.328338623,57.27554321,0.3476249134,0.1259832788
2023p792090,earthquake,2023-10-21T01:45:42.242Z,2023-11-07T00:44:41.539Z,172.8223572,-42.17755127,2.791192049,51.78591156,MLv,,LOCSAT,confirmed,manual,iasp91,38,24,7,0.04436978325,57.96858215,0.7278629291,0.3389230981
2023p791812,earthquake,2023-10-20T23:17:50.124Z,2023-11-06T22:36:00.761Z,167.5825195,-45.07842255,2.612337688,65.18348694,MLv,,LOCSAT,confirmed,manual,iasp91,22,13,1,0.4731357396,144.2291698,0.9130578608,0
2023p791749,earthquake,2023-10-20T22:44:09.877Z,2023-11-06T23:04:22.077Z,172.3450317,-42.74141693,2.848250298,40.0039711,MLv,,LOCSAT,confirmed,manual,iasp91,23,15,12,0.06773018837,66.71557617,0.5478046674,0.1185894597
2023p791625,earthquake,2023-10-20T21:37:57.347Z,2023-10-20T23:10:04.918Z,171.0835114,-43.68492508,2.511652898,3.910458326,MLv,,LOCSAT,confirmed,manual,iasp91,23,19,7,0.03664473444,69.07450104,0.4905742518,0.1594943064
2023p791306,earthquake,2023-10-20T18:47:57.747Z,2023-10-20T19:26:59.209Z,172.798172,-42.66527557,2.632202482,8.509736061,MLv,,LOCSAT,confirmed,manual,iasp91,31,26,13,0.0359258242,47.25013733,0.4037935946,0.1526624847
2023p789262,earthquake,2023-10-20T00:38:56.101Z,2023-10-20T00:47:30.425Z,173.2502136,-41.65646744,2.420552726,33.70512772,MLv,,LOCSAT,confirmed,manual,iasp91,16,10,7,0.2791903913,68.3004303,0.1860787661,0.2374498854
2023p787947,earthquake,2023-10-19T12:58:38.553Z,2023-10-19T13:03:00.268Z,172.5548096,-43.60675049,2.329218863,5.128142834,MLv,,LOCSAT,confirmed,manual,iasp91,32,22,7,0.01912104525,90.53421021,0.401292347,0.2180570203
2023p787599,earthquake,2023-10-19T09:53:05.439Z,2023-11-05T20:51:48.141Z,169.4825134,-43.92192459,2.813664907,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,18,4,0.2174755037,105.1118164,0.6083080419,0.2192579225
2023p787368,earthquake,2023-10-19T07:49:49.532Z,2023-10-19T08:57:10.156Z,170.536377,-43.71976852,2.320225423,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,13,2,0.3188153803,63.43711567,0.3807274624,0.3217691446
2023p787093,earthquake,2023-10-19T05:23:21.395Z,2023-11-06T01:23:46.525Z,173.2886353,-40.61288071,3.809298925,146.094986,MLv,,LOCSAT,confirmed,manual,iasp91,60,41,78,0.4266985953,102.5613575,0.3928608121,0.2021533286
2023p786611,quarry blast,2023-10-19T01:06:51.000Z,2023-10-19T01:12:57.202Z,171.3048,-42.3428,2.287451539,0,MLv,,,preliminary,manual,,0,0,1,0,0,1.304519973,0
2023p786179,earthquake,2023-10-18T21:16:11.082Z,2023-10-18T22:58:39.260Z,172.5302124,-43.60477066,2.125535592,4.376514435,MLv,,LOCSAT,confirmed,manual,iasp91,32,21,5,0.07294024527,95.54682922,0.3124857811,0.2056183166
2023p785535,earthquake,2023-10-18T15:33:21.548Z,2023-10-18T15:57:37.471Z,173.3508911,-41.48969269,2.433159111,56.15809631,MLv,,LOCSAT,confirmed,manual,iasp91,28,16,18,0.2059636861,46.25074768,0.2948725159,0.2180566369
2023p785511,earthquake,2023-10-18T15:20:25.103Z,2023-10-18T15:23:39.061Z,168.1353912,-44.38256836,2.647803047,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,13,10,2,0.3269064426,202.899704,0.7282651681,0.5039872059
2023p785375,earthquake,2023-10-18T14:07:52.950Z,2023-11-03T00:04:10.518Z,168.088089,-44.39645386,2.988109599,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,18,14,5,0.300023973,194.6214828,0.6244215368,0.368402968
2023p785013,earthquake,2023-10-18T10:55:11.486Z,2023-10-18T11:03:24.903Z,171.0844269,-43.68091965,2.258436364,6.321666718,MLv,,LOCSAT,confirmed,manual,iasp91,21,12,4,0.04031777382,71.96502686,0.3775617812,0.192607639
2023p783740,,2023-10-17T23:36:42.179Z,2023-10-18T00:47:38.410Z,172.8880347,-41.56037883,2.586148164,72.96875,M,,NonLinLoc,,automatic,nz3drx,22,22,11,0.1886382348,71.77236204,0.7430611188,0
2023p783544,earthquake,2023-10-17T21:52:22.993Z,2023-11-02T20:13:02.678Z,167.2185822,-44.6445961,3.03486523,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,11,4,0.5059498549,235.3195992,0.8876750096,0.391520659
2023p782825,earthquake,2023-10-17T15:29:24.912Z,2023-11-02T00:44:09.448Z,172.7485046,-40.75149536,2.777534512,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,13,0.1122863814,85.81941223,0.684362506,0.2039065425
2023p782633,earthquake,2023-10-17T13:46:52.165Z,2023-10-17T15:34:16.237Z,172.9944153,-41.291008,2.305218738,93.65740204,MLv,,LOCSAT,confirmed,manual,iasp91,23,13,5,0.2584907413,134.6740875,0.4729677241,0.30864531
2023p781184,earthquake,2023-10-17T00:55:20.040Z,2023-10-17T01:35:03.402Z,168.3132477,-44.37791061,2.272436657,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,24,13,4,0.4047468901,170.4761124,0.8803196262,0.1279431661
2023p780826,earthquake,2023-10-16T21:44:05.587Z,2023-10-17T01:39:16.230Z,172.2489014,-41.72461319,2.490344382,75.51303101,MLv,,LOCSAT,confirmed,manual,iasp91,29,19,3,0.2581577301,106.971015,0.6163989615,0.538989656
2023p780745,earthquake,2023-10-16T21:01:08.505Z,2023-11-01T01:54:12.084Z,172.4658661,-43.65027237,2.688201094,4.060467243,MLv,,LOCSAT,confirmed,manual,iasp91,43,28,6,0.0958629474,112.2774887,0.2757420539,0.2590909812
2023p780184,earthquake,2023-10-16T16:02:03.317Z,2023-11-01T02:08:31.653Z,171.0527954,-43.68867111,3.136744012,3.110129356,MLv,,LOCSAT,confirmed,manual,iasp91,22,19,6,0.02593922056,65.46581268,0.3265819177,0.1651090526
2023p779981,earthquake,2023-10-16T14:14:03.067Z,2023-10-16T14:20:04.487Z,167.2574463,-45.14970779,2.551077978,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,16,11,4,0.3234439194,212.1070099,0.6502751583,0.1598093837
2023p779792,earthquake,2023-10-16T12:33:10.455Z,2023-10-16T12:46:19.662Z,170.0553741,-44.08547211,2.133229036,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,19,13,2,0.1718843281,58.19141388,0.4354159306,0.03616784208
2023p779788,earthquake,2023-10-16T12:31:09.925Z,2023-11-01T01:58:58.180Z,170.0700073,-44.08252335,2.891052648,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,21,14,7,0.173232615,59.73396206,0.3793123084,0.1909959406
2023p779562,earthquake,2023-10-16T10:30:48.482Z,2023-10-16T12:01:30.127Z,167.5338745,-44.98413086,2.581471155,68.22371674,MLv,,LOCSAT,confirmed,manual,iasp91,20,15,5,0.4178463221,193.0018845,0.4759676505,0.2590656277
2023p779400,earthquake,2023-10-16T09:04:24.781Z,2023-11-01T02:12:32.691Z,166.981842,-45.27003479,2.772509166,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,15,11,3,0.2292461842,252.4827957,0.6114382249,0.3093951308
2023p778626,earthquake,2023-10-16T02:12:02.502Z,2023-10-16T02:16:38.704Z,167.4679413,-45.1240654,2.196208721,96.46095276,MLv,,LOCSAT,confirmed,manual,iasp91,24,14,3,0.3421783149,183.0548477,0.6691140321,0.2932734824
2023p778250,earthquake,2023-10-15T22:52:06.622Z,2023-10-15T22:57:58.269Z,167.9283295,-44.35125351,2.311904346,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,17,13,2,0.3220376074,210.3806801,0.5998335366,0.3026288892
2023p777614,earthquake,2023-10-15T17:12:54.327Z,2023-10-16T01:54:50.932Z,171.0520782,-43.68845367,2.331428505,7.477587223,MLv,,LOCSAT,confirmed,manual,iasp91,22,17,3,0.02617705986,44.31109619,0.3628191302,0.104894387
